ticker,cik,company,sic_code,sic_description,target_sector
IMSR,2019804,Terrestrial Energy Inc. /DE/,3443,Fabricated Plate Work (Boiler Shops),Manufacturing
SWIM,1833197,"Latham Group, Inc.",3089,"Plastics Products, NEC",Manufacturing
JBI,1839839,"Janus International Group, Inc.",3442,"Metal Doors, Sash, Frames, Moldings & Trim",Manufacturing
SWBI,1092796,"SMITH & WESSON BRANDS, INC.",3480,"Ordnance & Accessories, (No Vehicles/Guided Missiles)",Manufacturing
SXC,1514705,"SunCoke Energy, Inc.",3312,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)",Manufacturing
KRO,1257640,KRONOS WORLDWIDE INC,2810,Industrial Inorganic Chemicals,Manufacturing
KRT,1758021,Karat Packaging Inc.,3089,"Plastics Products, NEC",Manufacturing
ASPI,1921865,ASP Isotopes Inc.,2890,Miscellaneous Chemical Products,Manufacturing
LEGH,1436208,Legacy Housing Corp,2451,Mobile Homes,Manufacturing
RGR,95029,STURM RUGER & CO INC,3480,"Ordnance & Accessories, (No Vehicles/Guided Missiles)",Manufacturing
SLI,1537137,STANDARD LITHIUM LTD.,2800,Chemicals & Allied Products,Manufacturing
CTKB,1831915,"Cytek Biosciences, Inc.",3826,Laboratory Analytical Instruments,Manufacturing
PACK,1712463,Ranpak Holdings Corp.,2670,Converted Paper & Paperboard Prods (No Contaners/Boxes),Manufacturing
IIIN,764401,INSTEEL INDUSTRIES INC,3310,"Steel Works, Blast Furnaces & Rolling & Finishing Mills",Manufacturing
ADUR,1863934,ADURO CLEAN TECHNOLOGIES INC.,2800,Chemicals & Allied Products,Manufacturing
FEIM,39020,FREQUENCY ELECTRONICS INC,3825,Instruments For Meas & Testing of  Electricity & Elec Signals,Manufacturing
ASIX,1673985,AdvanSix Inc.,2821,"Plastic Materials, Synth Resins & Nonvulcan Elastomers",Manufacturing
NKLR,2067627,Terra Innovatum Global N.V.,3443,Fabricated Plate Work (Boiler Shops),Manufacturing
EBF,33002,"ENNIS, INC.",2761,Manifold Business Forms,Manufacturing
MLAB,724004,MESA LABORATORIES INC /CO/,3823,"Industrial Instruments For Measurement, Display, and Control",Manufacturing
PKOH,76282,PARK OHIO HOLDINGS CORP,3460,Metal Forgings & Stampings,Manufacturing
RYAM,1597672,RAYONIER ADVANCED MATERIALS INC.,2611,Pulp Mills,Manufacturing
PACB,1299130,"PACIFIC BIOSCIENCES OF CALIFORNIA, INC.",3826,Laboratory Analytical Instruments,Manufacturing
ELMT,2101698,Elmet Group Co.,3490,Miscellaneous Fabricated Metal Products,Manufacturing
