company,ticker,cik,period_end,cash,current_assets,total_assets,inventory,receivables,current_liabilities,total_liabilities,equity,working_capital,current_ratio,debt_to_equity,debt_to_assets,cash_ratio
ADVANCED MICRO DEVICES INC,AMD,2488,3/28/2026,5585000000,28628000000,79642000000,8045000000,6035000000,10506000000,,64462000000,18122000000,2.724919094,,,0.53160099
AMAZON COM INC,AMZN,1018724,6/30/2007,1004000000,,,,,,,,,,,,
AMAZON COM INC,AMZN,1018724,9/30/2007,1366000000,,,,,,,,,,,,
AMAZON COM INC,AMZN,1018724,12/31/2007,2539000000,,,,,,,,,,,,
AMAZON COM INC,AMZN,1018724,3/31/2008,1496000000,,,,,,,,,,,,
AMAZON COM INC,AMZN,1018724,6/30/2008,1548000000,,,,,,,,,,,,
AMAZON COM INC,AMZN,1018724,9/30/2008,1650000000,,,,,,,,,,,,
AMAZON COM INC,AMZN,1018724,12/31/2008,2769000000,6157000000,8314000000,1399000000,827000000,4746000000,,2672000000,1411000000,1.297302992,,,0.583438685
AMAZON COM INC,AMZN,1018724,3/31/2009,1701000000,,,,,,,,,,,,
AMAZON COM INC,AMZN,1018724,6/30/2009,1936000000,5304000000,7675000000,1325000000,584000000,3636000000,,3256000000,1668000000,1.458745875,,,0.532453245
AMAZON COM INC,AMZN,1018724,9/30/2009,2514000000,6369000000,8972000000,1617000000,671000000,4537000000,,3585000000,1832000000,1.403791051,,,0.554110646
AMAZON COM INC,AMZN,1018724,12/31/2009,3444000000,9797000000,13813000000,2171000000,988000000,7364000000,,5257000000,2433000000,1.330391092,,,0.467680608
AMAZON COM INC,AMZN,1018724,3/31/2010,1844000000,7964000000,12042000000,1820000000,815000000,5193000000,,5618000000,2771000000,1.533602927,,,0.355093395
AMAZON COM INC,AMZN,1018724,6/30/2010,1629000000,8118000000,12397000000,1940000000,805000000,5250000000,,5857000000,2868000000,1.546285714,,,0.310285714
AMAZON COM INC,AMZN,1018724,9/30/2010,1539000000,9559000000,14162000000,2515000000,959000000,6375000000,,6397000000,3184000000,1.49945098,,,0.241411765
AMAZON COM INC,AMZN,1018724,12/31/2010,3777000000,13747000000,18797000000,3202000000,1587000000,10372000000,,6864000000,3375000000,1.325395295,,,0.36415349
AMAZON COM INC,AMZN,1018724,3/31/2011,2641000000,11288000000,16882000000,2888000000,1304000000,7730000000,,7347000000,3558000000,1.460284605,,,0.341655886
AMAZON COM INC,AMZN,1018724,6/30/2011,2047000000,11279000000,17941000000,3229000000,1438000000,8045000000,,7765000000,3234000000,1.401988813,,,0.254443754
AMAZON COM INC,AMZN,1018724,9/30/2011,2823000000,11904000000,19054000000,3770000000,1496000000,8978000000,,7766000000,2926000000,1.325907775,,,0.314435286
AMAZON COM INC,AMZN,1018724,12/31/2011,5269000000,17490000000,25278000000,4992000000,2571000000,14896000000,,7757000000,2594000000,1.174140709,,,0.353719119
AMAZON COM INC,AMZN,1018724,3/31/2012,2288000000,12154000000,20339000000,4255000000,1813000000,10488000000,,7271000000,1666000000,1.158848207,,,0.218154081
AMAZON COM INC,AMZN,1018724,6/30/2012,2335000000,11793000000,21022000000,4380000000,2035000000,10964000000,,7505000000,829000000,1.075611091,,,0.212969719
AMAZON COM INC,AMZN,1018724,9/30/2012,2980000000,13118000000,22834000000,5065000000,2392000000,12605000000,,7553000000,513000000,1.040698136,,,0.236414121
AMAZON COM INC,AMZN,1018724,12/31/2012,8084000000,21296000000,32555000000,6031000000,3364000000,19002000000,,8192000000,2294000000,1.120724134,,,0.425428902
AMAZON COM INC,AMZN,1018724,3/31/2013,4481000000,16313000000,28377000000,5395000000,2516000000,14332000000,,8432000000,1981000000,1.13822216,,,0.312656991
AMAZON COM INC,AMZN,1018724,6/30/2013,3704000000,16285000000,29623000000,5420000000,2861000000,14735000000,,8733000000,1550000000,1.10519172,,,0.251374279
AMAZON COM INC,AMZN,1018724,9/30/2013,3872000000,17334000000,31861000000,6068000000,3057000000,16135000000,,9087000000,1199000000,1.074310505,,,0.239975209
AMAZON COM INC,AMZN,1018724,12/31/2013,8658000000,24625000000,40159000000,7411000000,4767000000,22980000000,,9746000000,1645000000,1.071583986,,,0.376762402
AMAZON COM INC,AMZN,1018724,3/31/2014,5074000000,19327000000,36364000000,6716000000,3945000000,18357000000,,10328000000,970000000,1.052840878,,,0.27640682
AMAZON COM INC,AMZN,1018724,6/30/2014,5057000000,18755000000,37898000000,6644000000,4125000000,18751000000,,10602000000,4000000,1.000213322,,,0.269692283
AMAZON COM INC,AMZN,1018724,9/30/2014,5258000000,18572000000,40419000000,7316000000,4373000000,20842000000,,10336000000,-2270000000,0.891085309,,,0.252279052
AMAZON COM INC,AMZN,1018724,12/31/2014,14557000000,31327000000,54505000000,8299000000,5612000000,28089000000,,10741000000,3238000000,1.115276443,,,0.518245577
AMAZON COM INC,AMZN,1018724,3/31/2015,10237000000,25922000000,50075000000,7369000000,4772000000,23177000000,,10873000000,2745000000,1.118436381,,,0.44168788
AMAZON COM INC,AMZN,1018724,6/30/2015,10269000000,26391000000,52440000000,7470000000,4920000000,23912000000,,11768000000,2479000000,1.103671797,,,0.429449649
AMAZON COM INC,AMZN,1018724,9/30/2015,10709000000,28849000000,56230000000,8981000000,5440000000,26657000000,,12430000000,2192000000,1.082229808,,,0.401733128
AMAZON COM INC,AMZN,1018724,12/31/2015,15890000000,35705000000,64747000000,10243000000,5654000000,33887000000,,13384000000,1818000000,1.053648892,,,0.468911382
